"cust_id","mg_acc","cust_age","cust_gender","cust_income","cust_cr_score"
8809246,606711,35,"male",48900,656
8249990,606711,30,"female",44800,628
682248,331376,43,"male",104100,690
6578924,162777,44,"male",55700,713
1712907,614094,62,"male",187000,752
3688781,732055,33,"male",72300,647
7134797,353796,55,"male",83700,871
683650,437062,37,"male",87600,792
4510891,88967,43,"female",195300,688
3992083,438455,51,"male",120500,554
6762629,701944,33,"male",62300,762
8776621,114621,44,"male",119300,816
5711306,732131,40,"male",98200,732
9805828,188872,43,"male",56100,709
4314392,83737,44,"male",173000,728
4639316,126387,55,"male",84900,829
8613890,259140,30,"male",76100,694
6325125,910260,58,"male",115800,731
9043754,270683,55,"female",53900,878
5172194,270683,49,"male",66700,837
9644355,449913,45,"female",57800,432
2389057,228802,46,"female",52700,763
3942675,385629,52,"male",125200,886
545114,806558,26,"female",62700,613
1174609,864989,56,"female",190400,708
3198053,411231,38,"male",89000,628
1079657,16607,42,"male",78300,686
6968896,801500,52,"male",187800,879
822481,669215,30,"male",65900,756
9535558,370089,44,"male",111400,667
1885122,568617,59,"male",85200,674
9598815,351128,45,"male",106900,653
997574,684551,35,"male",171000,876
7872782,963009,36,"female",74500,538
2286440,545766,41,"male",48900,822
2674024,545766,36,"female",85100,589
7845490,259982,41,"male",74100,743
3104292,696301,42,"female",94300,575
3275434,902744,49,"female",82300,583
9648701,137070,50,"male",110300,832
6903134,235891,30,"male",78900,789
7666335,195483,41,"male",86900,738
3979832,889844,44,"male",54600,766
7493310,889844,42,"female",67300,731
6486875,671662,45,"female",105700,650
8527922,900037,31,"male",55600,578
2341138,900037,30,"female",66300,673
9828950,931255,33,"male",101400,700
5819106,946884,25,"male",51500,459
5514421,746419,40,"male",81600,782
8549149,746419,31,"female",72900,698
3508976,532496,41,"male",80100,747
2922852,509334,63,"male",71100,648
5696099,91061,46,"male",143500,735
3978129,154757,39,"male",74300,772
3668595,765781,37,"female",84900,694
5033935,766900,55,"male",85200,628
9896212,297241,34,"male",64900,832
2735994,642703,42,"female",69600,710
8830977,642703,35,"female",47400,516
4991912,539946,39,"female",111200,773
5540366,723365,40,"male",56500,747
5510647,637418,57,"male",161900,482
1165504,448280,60,"male",94900,795
1446414,746633,44,"male",153900,696
7337008,628075,43,"male",77100,644
6262014,395083,48,"female",162200,725
3139930,980259,50,"male",71500,805
4291858,596506,35,"female",76800,623
5089925,580656,46,"female",62600,439
4888317,950096,55,"male",129300,785
5227996,328741,48,"male",161200,860
2255648,854747,55,"male",157000,685
9266751,106824,48,"male",74200,610
7239978,661064,37,"male",43700,775
8645513,661064,35,"female",44500,381
4011825,125075,50,"male",62600,861
4847021,125075,42,"female",53300,413
5610764,965271,30,"male",175800,777
10000,723738,46,"female",46400,653
3133933,723738,40,"male",41000,810
9529385,275191,40,"male",58700,665
6450332,912680,56,"female",54500,762
7716133,912680,54,"male",164000,742
6491573,928593,40,"male",138200,821
3351785,774366,36,"female",73900,600
9717406,510400,47,"male",234700,693
1698194,963254,59,"male",111900,712
6250906,627075,35,"male",59600,651
4240770,338256,46,"male",154400,747
5767524,600486,43,"male",118900,668
2044675,505259,64,"male",83800,674
5224403,187268,63,"female",182500,776
9303191,27338,61,"male",49200,825
5840303,27338,54,"female",72800,550
2025425,906034,56,"male",80400,749
1120418,742271,34,"male",61800,712
8620225,763693,40,"male",61800,691
5275589,760613,34,"male",59900,707
8827141,636868,48,"male",55300,631
7903528,240841,51,"female",145400,704
1514553,612635,27,"male",248700,882
3324197,924590,51,"male",109200,712
2545079,448149,35,"male",86500,606
654476,421865,48,"male",52700,815
18608,421865,43,"female",68900,646
5298958,784065,38,"female",57800,684
2508314,498058,33,"female",107100,485
4452811,313815,44,"male",63700,822
3576812,313815,42,"female",90600,544
2569889,914642,37,"male",146700,819
5921091,53959,35,"female",59400,528
4280285,647345,36,"male",50000,719
6998123,236674,55,"female",111500,777
1889561,682990,47,"male",105400,726
666828,966770,46,"female",128800,822
4206694,19146,48,"male",88900,848
742011,835193,39,"female",70300,559
8475382,788798,43,"male",94800,692
1534593,684132,29,"male",185000,803
236750,652174,39,"female",62200,587
2732624,633002,45,"male",149300,782
9078386,201280,34,"female",64000,578
8424904,936975,30,"male",66700,606
4898599,220850,50,"male",103000,832
8326373,937143,42,"male",71500,830
900013,111486,46,"female",90100,837
1024941,378329,42,"female",86200,603
5617369,309076,35,"male",119300,865
1974873,701645,27,"female",67100,628
3733004,374359,31,"male",59100,639
8432972,199296,30,"female",63600,596
2895598,411551,53,"male",41300,756
1733819,411551,45,"female",49100,735
5622234,914661,47,"male",124600,856
289885,745262,31,"male",77600,761
6768031,579813,34,"male",57700,656
1933662,991724,48,"male",59600,693
3478013,707219,54,"female",78700,676
4510169,714700,29,"female",78200,653
6097742,248650,43,"male",160400,670
209559,911698,40,"male",59500,764
3447606,911698,34,"female",65200,538
5751428,726544,37,"male",72300,852
8877225,324743,41,"female",62300,619
3531276,48824,51,"male",83800,871
7317473,269684,43,"female",76500,451
6803872,441160,40,"female",109500,707
5318486,404426,51,"male",128200,852
5083260,279380,37,"male",68300,680
8593788,734675,38,"female",118600,719
