"mg_acc","FSA","origin_date","property_type","purchase_price","amort_period","loan_size","interest_rate","TDS","default","Sample"
208146,"V0A",2018-06-04,"detached",456000,"25 years",364800,2.73,0.260444178744534,0,"Estimation"
43202,"V0A",2016-11-21,"detached",354000,"30 years",283200,1.95,0.143560187394322,0,"Validation"
875975,"V0A",2017-06-13,"detached",401000,"25 years",320800,1.27,0.335701273773027,0,"Validation"
445492,"V0A",2015-06-24,"detached",319000,"25 years",252010,1.94,0.0851096895171967,0,"Estimation"
978049,"V0A",2017-04-01,"semi-detached/row/town-houses",285000,"25 years",225150,2.66,0.200871181714142,NA,"Holdout"
145771,"V0A",2013-02-11,"detached",460000,"25 years",354200,2.34,0.263314271241867,0,"Estimation"
84892,"V0A",2011-01-24,"detached",390000,"20 years",312000,1.53,0.241729156295929,1,"Estimation"
840925,"V0A",2014-11-27,"detached",427000,"25 years",341600,1.64,0.10074544641431,NA,"Holdout"
314979,"V0A",2018-07-30,"semi-detached/row/town-houses",180000,"20 years",142200,1.7,0.0794836995126957,0,"Estimation"
874065,"V0A",2014-01-21,"semi-detached/row/town-houses",237000,"30 years",189600,2.72,0.189989120779743,0,"Estimation"
951132,"V0A",2014-06-21,"detached",370000,"25 years",284900,3.13,0.17044368310698,0,"Estimation"
114642,"V0A",2014-05-04,"detached",371000,"25 years",296800,2.19,0.195134267376105,0,"Estimation"
589341,"V0A",2017-11-09,"detached",395000,"25 years",316000,1.92,0.333930527899314,NA,"Holdout"
774366,"V0A",2014-12-26,"detached",419000,"25 years",331010,1.42,0.115651790053211,0,"Estimation"
516593,"V0A",2014-11-26,"detached",284000,"25 years",221520,2.02,0.167807020541837,NA,"Holdout"
351211,"V0A",2017-07-22,"detached",479000,"25 years",383200,1.78,0.299143194571565,0,"Estimation"
714700,"V0A",2016-03-29,"detached",5e+05,"25 years",4e+05,2.55,0.220165284106183,0,"Estimation"
23944,"V0A",2018-10-09,"detached",302000,"20 years",241600,2.52,0.153005614436544,0,"Estimation"
275847,"V0A",2018-06-26,"semi-detached/row/town-houses",216000,"30 years",166320,2.23,0.1830041546387,NA,"Holdout"
392116,"V0A",2018-01-26,"detached",354000,"25 years",276120,2.31,0.315849111395901,0,"Validation"
12561,"V0A",2014-02-14,"detached",368000,"25 years",294400,1.21,0.128960080316086,0,"Estimation"
827959,"V0A",2018-03-30,"apartment",263000,"30 years",210400,2.32,0.180898642078998,1,"Validation"
479521,"V0A",2014-11-23,"detached",493000,"25 years",394400,2.43,0.125336899557742,0,"Estimation"
932023,"V0A",2018-10-31,"detached",426000,"25 years",340800,1.42,0.222018824507955,0,"Validation"
609523,"V0A",2016-03-28,"detached",485000,"30 years",388000,2.44,0.270097040591639,0,"Estimation"
554987,"V0A",2018-10-07,"detached",310000,"25 years",244900,2.16,0.0821142144801209,0,"Validation"
659891,"V0B",2018-01-30,"detached",568000,"25 years",443040,1.76,0.39473397882246,1,"Estimation"
745104,"V0B",2018-04-17,"detached",525000,"30 years",420000,1.98,0.208523138858649,0,"Estimation"
622689,"V0B",2016-01-02,"detached",483000,"30 years",386400,2.9,0.269751255108796,0,"Estimation"
308892,"V0B",2018-10-11,"detached",519000,"25 years",410010,2.28,0.232869702304143,0,"Validation"
291218,"V0B",2015-02-06,"detached",521000,"25 years",390750,2.48,0.148675865045312,0,"Validation"
152810,"V0B",2018-12-12,"detached",662000,"25 years",522980,2.69,0.437309704708542,1,"Validation"
903256,"V0B",2017-05-13,"detached",453000,"25 years",357870,1.97,0.156851716850963,NA,"Holdout"
96133,"V0B",2018-01-30,"apartment",248000,"25 years",198400,2.65,0.175027009516199,NA,"Holdout"
598770,"V0B",2013-04-12,"detached",662000,"25 years",516360,2.43,0.350648216475668,0,"Validation"
936929,"V0B",2018-04-29,"detached",501000,"25 years",400800,2.91,0.326147750658573,0,"Estimation"
421865,"V0B",2016-11-24,"semi-detached/row/town-houses",331000,"25 years",261490,2.01,0.145267748082975,0,"Estimation"
127960,"V0B",2013-01-27,"detached",447000,"25 years",357600,2.37,0.273320103959865,NA,"Holdout"
773763,"V0B",2015-01-20,"detached",744000,"25 years",595200,2.6,0.431219750908164,NA,"Holdout"
484531,"V0B",2018-08-31,"detached",521000,"25 years",416800,2.82,0.22102220637613,0,"Validation"
787617,"V0B",2017-04-09,"detached",711000,"25 years",568800,1.89,0.318108901223665,0,"Validation"
154549,"V0B",2018-11-12,"detached",431000,"25 years",344800,2.09,0.168502576613651,1,"Estimation"
743956,"V0B",2017-11-21,"detached",572000,"30 years",434720,2.16,0.23415179645539,0,"Estimation"
290868,"V0B",2014-03-22,"semi-detached/row/town-houses",433000,"30 years",346400,3.18,0.396589131552862,1,"Validation"
947797,"V0B",2011-06-17,"detached",706000,"25 years",564800,2.36,0.219164805123822,1,"Estimation"
324606,"V0B",2016-07-04,"detached",509000,"20 years",397020,2.09,0.351733174733511,NA,"Holdout"
230215,"V0B",2018-08-01,"semi-detached/row/town-houses",294000,"25 years",229320,1.95,0.190357797090561,NA,"Holdout"
976001,"V0B",2017-09-12,"detached",427000,"25 years",337330,1.45,0.131338474818786,0,"Estimation"
789269,"V0B",2015-09-18,"semi-detached/row/town-houses",319000,"30 years",248820,2.21,0.201650897461956,NA,"Holdout"
607864,"V0B",2013-04-06,"detached",518000,"25 years",414400,1.54,0.285662692007431,0,"Estimation"
19028,"V0B",2017-05-28,"semi-detached/row/town-houses",334000,"25 years",267200,2.55,0.19249306322742,1,"Estimation"
149342,"V0B",2018-01-03,"detached",437000,"25 years",314640,1.51,0.293323435497998,0,"Validation"
